Enter the file name: 
1965,111.0091346
1966,130.8284341
1967,141.2870879
1968,154.2277747
1969,162.7408654
1970,192.1664835
1971,240.7997253
1972,304.2173901
1973,384.0045673
1974,429.6621566
1975,359.3169299
1976,437.2518544
1977,468.4007898
1978,424.4353365
1979,487.9794299
1980,509.8284478
1981,506.3472527
1982,340.1842374
1983,240.258921
1984,219.0327876
1985,172.0746632
1986,252.5900922
1987,221.0710774
1988,276.5187735
1989,271.1479517
1990,342.6186005
1991,428.3558357
1992,442.3945534
1993,432.7851482
1994,437.2497186
1995,437.2091599
1996,445.3640981
1997,453.1950104
1998,454.409641
1999,422.3789058
2000,456.0371217
2001,440.3866047
2002,425.1943725
2003,486.2051735
2004,500.4290861
2005,521.2759092
2006,508.947617
2007,488.8888577
2008,509.870575
2009,456.7229123
2010,473.8166029
2011,525.9508706
2012,549.8338076
2013,542.3404698

